Gene	TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00F	TCGA-AA-A00J	TCGA-AA-A00K	TCGA-AA-A00N	TCGA-AA-A00O	TCGA-AA-A00R	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01I	TCGA-AA-A01K	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02R	TCGA-AF-2691	TCGA-AF-2692	TCGA-AF-3400	TCGA-AF-3913	TCGA-AG-3574	TCGA-AG-3580	TCGA-AG-3584	TCGA-AG-3593	TCGA-AG-3594	TCGA-AG-4007	TCGA-AG-A002	TCGA-AG-A008	TCGA-AG-A00C	TCGA-AG-A00H	TCGA-AG-A00Y	TCGA-AG-A011	TCGA-AG-A014	TCGA-AG-A015	TCGA-AG-A016	TCGA-AG-A01J	TCGA-AG-A01L	TCGA-AG-A01N	TCGA-AG-A02X	TCGA-AG-A032
ABCC3	1.51487	-0.998357	-0.998357	-0.103126	0.420551	-0.998357	-0.998357	1.08031	0.420551	0.420551	-0.998357	-0.103126	-0.103126	-0.998357	2.09863	1.08031	-0.998357	-0.998357	0.420551	0.420551	-0.998357	-0.998357	1.08031	0.792105	1.31578	0.792105	-0.998357	-0.103126	-0.998357	-0.998357	-0.998357	-0.103126	1.68734	-0.998357	1.51487	-0.998357	-0.998357	1.08031	-0.103126	1.68734	-0.103126	-0.998357	-0.103126	-0.998357	-0.103126	-0.998357	1.31578	-0.998357	-0.103126	-0.998357	0.792105	-0.103126	-0.998357	1.83946	-0.103126	0.792105	0.792105	-0.998357	1.68734	1.68734	1.08031	-0.998357	0.792105	-0.998357	-0.998357	0.792105	-0.998357	0.792105	-0.998357
ABCD3	1.05246	-0.887768	-0.110095	-0.110095	0.441672	1.21934	0.869656	-0.459784	1.37286	0.441672	0.185562	-0.110095	1.77111	0.667577	-0.110095	-0.459784	-2.21721	-1.43953	1.05246	0.667577	0.185562	0.869656	0.185562	-0.661862	1.05246	-0.887768	0.441672	-1.14388	-3.54665	1.77111	-0.887768	1.05246	0.185562	0.869656	0.441672	-2.21721	-0.459784	0.441672	-0.459784	0.441672	1.64733	0.185562	-1.43953	-0.459784	-0.887768	-0.110095	0.185562	-0.459784	-0.110095	1.21934	1.21934	0.441672	-1.43953	0.869656	-0.459784	-0.110095	0.441672	-0.459784	0.185562	0.185562	0.441672	-0.459784	0.185562	0.185562	-0.887768	0.185562	0.869656	-0.459784	-2.21721
ABCE1	1.04866	-1.80405	0.321583	-0.66064	-0.66064	1.04866	0.150621	-1.17479	0.321583	-0.0313768	1.29403	0.779885	-0.225936	0.321583	-0.43492	0.482769	-2.61531	0.482769	1.29403	1.17401	-0.43492	0.635238	0.150621	-0.126979	1.72873	0.482769	-1.17479	-0.906012	-1.80405	0.321583	0.779885	2.01576	-1.4719	1.82769	0.321583	-1.4719	-0.43492	0.321583	-0.225936	-0.906012	1.17401	-0.43492	-0.0313768	0.482769	-0.43492	-0.43492	-0.0313768	-2.61531	0.150621	1.17401	1.04866	0.321583	-0.43492	-0.0313768	-0.0313768	-0.0313768	-0.43492	-0.225936	0.321583	2.43744	0.150621	0.150621	0.635238	-0.906012	0.150621	-1.17479	0.150621	-1.80405	-0.0313768
ABCF1	-0.625019	-0.625019	-0.21069	-0.625019	0.950171	0.13962	0.950171	-0.21069	1.71481	0.443073	-1.78588	1.16677	0.443073	-1.13212	-0.625019	0.710737	-1.13212	-0.21069	1.5464	1.3645	-0.625019	2.28593	-1.13212	-0.625019	1.5464	0.13962	-0.625019	-1.78588	-2.20021	-1.13212	-0.864453	1.5464	-0.21069	0.950171	0.710737	-1.13212	0.13962	0.950171	-0.625019	-0.625019	0.443073	1.3645	0.13962	0.710737	-1.13212	0.710737	0.710737	-2.70731	0.950171	-0.625019	-0.21069	-1.13212	-0.21069	-0.21069	-0.625019	-0.625019	1.16677	0.13962	0.833606	1.3645	-0.625019	0.443073	0.710737	0.443073	-0.625019	0.710737	-0.21069	-0.21069	-0.625019
ABCF2	0.65802	0.0608423	-0.96004	-0.96004	1.41038	0.0608423	0.65802	-0.96004	0.65802	0.65802	-0.96004	1.41038	0.65802	-0.96004	0.0608423	-0.96004	-0.96004	0.0608423	0.0608423	1.90594	-0.96004	0.0608423	-0.96004	0.389493	1.41038	-0.96004	0.0608423	-0.96004	0.0608423	-0.96004	1.2552	2.10261	-0.96004	1.41038	0.65802	-0.96004	0.0608423	0.0608423	0.0608423	-0.96004	1.41038	1.08172	-0.96004	0.0608423	-0.96004	-0.96004	1.08172	-0.96004	-0.96004	-0.96004	0.65802	2.27608	-0.96004	0.0608423	-0.96004	-0.96004	0.0608423	-0.96004	0.885057	1.41038	-0.96004	1.6789	0.0608423	0.0608423	-0.96004	-0.96004	2.10261	-0.96004	-0.96004
ABCF3	0.0458751	-0.917206	1.25921	0.729192	0.0458751	0.0458751	1.69227	-2.5636	1.25921	0.729192	0.729192	1.25921	0.729192	-0.917206	-0.917206	0.0458751	-0.917206	-0.917206	0.0458751	0.0458751	0.0458751	0.0458751	0.729192	0.0458751	1.25921	-0.917206	0.0458751	-0.917206	-0.917206	0.0458751	-0.387184	0.729192	-0.917206	1.69227	0.0458751	-2.5636	0.0458751	-0.917206	0.0458751	0.0458751	0.729192	0.729192	0.0458751	-2.5636	-0.917206	-0.917206	0.0458751	-2.5636	0.0458751	-0.917206	1.69227	0.0458751	1.69227	0.729192	0.0458751	-0.917206	0.0458751	0.0458751	0.412022	0.729192	1.25921	0.729192	0.729192	1.25921	0.0458751	0.0458751	0.729192	-0.917206	-0.917206
ABHD10	0.655356	0.115321	0.655356	0.40037	-0.580906	0.115321	0.886019	-1.02215	0.115321	-0.580906	-1.02215	-0.580906	2.07787	1.0966	-0.580906	-1.02215	-1.56218	-0.580906	1.0966	0.40037	-0.207842	0.655356	0.115321	-0.791484	-0.207842	0.115321	1.29031	-2.25841	-3.23969	1.79282	0.26204	0.115321	-0.207842	1.0966	-0.207842	-0.207842	0.115321	0.655356	-0.580906	0.115321	0.40037	0.40037	1.0966	-0.207842	1.29031	0.115321	0.655356	-3.23969	1.0966	-0.580906	0.40037	0.655356	0.886019	-0.207842	-1.02215	0.886019	0.886019	-0.580906	-0.580906	0.115321	0.40037	0.886019	1.0966	-0.207842	-0.580906	-0.207842	-0.207842	-2.25841	0.115321
ABHD11	0.999857	-1.51521	0.394422	-0.310368	-0.810424	0.394422	0.0775058	-0.810424	0.0775058	-0.542475	-0.542475	-0.105634	1.19319	0.0775058	0.782295	0.999857	-2.01527	-0.810424	0.894478	0.243176	-2.01527	0.782295	0.782295	0.599155	-0.310368	1.19319	0.999857	-1.51521	-1.51521	0.394422	-0.42255	-0.810424	0.66237	1.28235	0.894478	-2.01527	1.28235	-1.51521	-0.542475	-0.542475	1.19319	0.394422	1.52529	-0.810424	0.66237	0.0775058	0.0775058	0.782295	2.09932	-2.01527	-1.12734	1.52529	-0.810424	0.243176	-0.542475	-0.810424	-0.542475	-0.542475	0.0775058	0.999857	0.243176	1.19319	0.894478	-1.12734	1.19319	-0.105634	0.533554	-1.51521	-0.105634
ABHD12	0.599939	1.00949	0.0719398	-0.672233	0.599939	1.00949	-0.672233	-0.672233	2.08828	-0.672233	0.0719398	0.599939	1.00949	-0.672233	-0.672233	-0.672233	-0.672233	-0.672233	0.0719398	0.0719398	-0.672233	1.62703	-0.672233	1.49102	-1.9444	0.0719398	0.599939	-0.672233	-0.672233	0.0719398	0.816112	1.00949	-1.9444	1.87211	0.599939	-1.9444	0.0719398	0.599939	0.0719398	0.0719398	0.599939	1.00949	1.87211	-1.9444	-0.672233	-0.672233	0.599939	-0.672233	0.0719398	1.00949	1.34411	-1.9444	0.599939	-1.9444	0.0719398	0.0719398	-0.672233	0.599939	0.0719398	1.00949	-0.672233	0.599939	-1.9444	-0.672233	-0.672233	0.599939	0.0719398	-0.672233	1.34411
ABHD14B	0.186372	-1.21441	0.533005	-1.21441	-0.828956	0.533005	-0.247743	0.533005	0.186372	0.186372	-0.828956	-0.828956	0.949582	0.186372	1.18024	0.186372	-1.21441	0.186372	0.683306	0.683306	0.82157	0.368369	1.64997	1.18024	0.186372	1.18024	0.82157	-1.44507	-1.71134	0.533005	0.683306	0.368369	1.28496	0.683306	0.949582	-2.41173	-0.247743	-2.41173	0.533005	0.82157	0.533005	-0.0170839	-0.247743	-0.514019	0.683306	-3.60906	-0.0170839	0.186372	-0.828956	0.186372	-0.0170839	0.186372	0.683306	-0.0170839	-0.828956	-1.71134	0.533005	0.368369	0.186372	-0.0170839	0.82157	1.28496	0.368369	-0.514019	1.28496	0.533005	-1.21441	-1.71134	-0.247743
ABHD16A	1.58909	1.17615	1.39412	-2.67198	-0.638932	-0.106558	-0.638932	-0.638932	1.39412	-0.638932	-1.38927	0.64378	1.39412	-0.638932	-0.106558	1.58909	-0.106558	0.306383	-0.106558	0.64378	-0.638932	0.306383	-0.106558	-0.353666	1.17615	-0.638932	-1.38927	-0.353666	-1.38927	0.64378	0.48276	0.64378	-0.106558	1.39412	1.17615	-0.638932	-0.106558	1.17615	-0.106558	-0.638932	-0.106558	2.45886	1.58909	-2.67198	-0.638932	-0.106558	0.306383	-1.38927	-0.106558	-0.638932	-0.106558	-0.106558	0.64378	0.929045	-0.638932	-1.38927	-0.638932	-1.38927	0.48276	0.306383	-0.638932	-0.106558	1.76547	-0.638932	-0.106558	0.929045	-0.638932	0.306383	-0.638932
ABHD6	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	7.32357	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	1.97217	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	1.97217	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	-0.203694	1.97217	-0.203694	-0.203694
ABI1	0.647212	-0.209149	0.647212	-1.41612	0.647212	0.647212	0.647212	0.647212	1.85418	0.647212	1.31146	2.31305	-0.209149	-0.209149	-0.209149	0.647212	0.647212	-0.209149	-1.41612	0.647212	-1.41612	0.647212	0.647212	0.249721	0.647212	-0.209149	-0.209149	-1.41612	-0.751876	0.647212	-0.209149	-0.209149	-0.209149	-1.41612	-0.209149	-3.47945	-1.41612	0.647212	-0.209149	0.647212	0.647212	0.647212	-1.41612	-1.41612	-0.209149	0.647212	0.647212	-0.209149	-0.209149	-0.209149	0.647212	-0.209149	-1.41612	1.31146	-1.41612	-1.41612	0.647212	-0.209149	0.647212	1.85418	0.647212	-0.209149	-1.41612	-0.209149	0.647212	1.31146	0.647212	-0.209149	-1.41612
ABLIM1	-0.0486855	-1.03586	-0.0486855	-1.03586	-1.03586	-0.0486855	-0.0486855	0.528777	-1.03586	-1.03586	0.528777	-0.0486855	1.25629	0.528777	0.528777	-0.0486855	-1.03586	-0.0486855	0.938493	1.25629	-1.03586	0.938493	-1.03586	-1.03586	1.25629	-1.03586	0.528777	-1.03586	-1.03586	-1.03586	-1.03586	-0.0486855	-1.03586	-0.0486855	-0.0486855	-1.03586	0.938493	1.25629	-0.0486855	2.09342	1.25629	1.7355	0.528777	-1.03586	-0.0486855	-1.03586	1.51596	-0.0486855	-1.03586	-1.03586	-1.03586	-1.03586	0.528777	1.51596	-1.03586	-1.03586	1.7355	-0.0486855	1.7355	1.25629	-0.0486855	-0.0486855	1.7355	-1.03586	-0.0486855	0.938493	-1.03586	-1.03586	1.7355
ABR	0.229794	-0.467078	-1.65839	0.229794	1.42111	0.229794	1.10775	-0.467078	-0.467078	-0.467078	0.724233	1.42111	0.724233	-0.467078	-1.65839	1.68604	-1.65839	0.724233	0.724233	1.42111	0.229794	0.724233	1.10775	-0.0835618	1.42111	0.724233	-0.467078	-0.467078	-1.65839	0.229794	0.229794	-1.65839	-0.467078	0.724233	0.724233	-0.467078	1.68604	1.10775	0.229794	0.724233	0.724233	0.229794	-1.65839	-1.65839	-0.467078	-0.467078	0.229794	-1.65839	0.229794	0.229794	0.724233	-1.65839	-1.65839	-0.467078	0.229794	0.724233	0.229794	-0.467078	-0.0835618	1.10775	-1.65839	0.724233	-0.467078	1.68604	-1.65839	0.229794	0.229794	-1.65839	0.229794
ABRACL	-0.583355	-0.583355	0.606163	-1.52753	-1.52753	-0.583355	-1.52753	-0.583355	0.606163	-1.52753	1.70062	-1.52753	0.0865466	-1.52753	0.606163	1.70062	1.03072	0.0865466	0.0865466	-0.583355	0.0865466	1.03072	0.0865466	0.0865466	1.38968	1.38968	1.03072	-0.583355	-0.583355	1.38968	-0.224397	1.03072	0.0865466	1.70062	0.0865466	-1.52753	0.606163	-0.583355	0.606163	0.0865466	0.0865466	-1.52753	-1.52753	-0.583355	0.0865466	1.03072	0.0865466	1.38968	-0.583355	-1.52753	0.0865466	0.0865466	-0.583355	1.03072	1.03072	-1.52753	0.0865466	0.0865466	-0.583355	-1.52753	1.03072	1.38968	1.03072	1.38968	-0.583355	1.03072	0.0865466	-1.52753	-0.583355
ACAA1	1.27462	-0.0692287	-0.283471	-1.84156	0.306283	1.68445	0.627951	-0.520305	1.77621	-0.0692287	0.627951	-0.283471	0.472866	-2.34315	0.126359	-0.785063	-1.43173	-0.785063	0.472866	-0.283471	0.306283	-0.0692287	0.909298	-0.648788	0.773023	1.68445	-0.283471	-1.84156	-1.08522	1.03778	-0.785063	0.126359	-0.520305	0.472866	0.773023	-1.43173	0.126359	0.627951	-0.785063	-0.283471	1.77621	2.33111	-1.08522	0.126359	-0.520305	0.306283	0.126359	-1.43173	-0.283471	-0.520305	0.627951	-0.0692287	0.909298	0.773023	-0.0692287	-2.34315	-0.283471	-1.08522	1.2177	1.77621	-0.0692287	0.126359	0.909298	0.773023	0.306283	0.306283	-0.283471	-0.283471	-1.84156
ACAA2	0.480715	0.0703484	-0.165622	-0.653674	0.154549	1.2158	0.448034	0.744664	0.27199	-0.115112	-0.653674	1.41074	0.38027	-2.04052	1.07579	0.633494	-2.25462	-0.218039	0.920072	-2.25462	0.822566	0.604253	1.47535	0.97771	0.113087	0.744664	-3.21732	-0.728768	-0.93645	2.05938	-0.653674	-0.218039	0.604253	0.797081	0.920072	-1.69147	-0.165622	0.966372	-0.0663738	0.345106	0.633494	-0.808154	0.847592	-0.38832	0.233936	-0.450059	0.604253	-1.29191	0.77112	-1.69147	0.797081	0.309029	0.633494	-0.165622	0.19481	-0.165622	-0.218039	-0.981992	-0.0426316	0.872174	-0.582434	0.448034	0.872174	-0.450059	0.026253	0.309029	0.154549	-2.50784	-0.165622
ACACA	1.38453	-1.32849	-0.362093	-1.32849	-0.362093	0.604303	0.203212	-1.32849	0.915412	0.915412	1.73491	1.5707	0.604303	-1.32849	-0.362093	-0.362093	-1.32849	-0.362093	0.915412	1.88181	-1.32849	-1.32849	-1.32849	-0.362093	0.203212	-0.362093	-1.32849	-0.362093	-1.32849	-0.362093	0.203212	1.5707	-1.32849	-0.362093	-0.362093	-1.32849	2.2476	0.915412	-1.32849	0.604303	1.38453	0.604303	-1.32849	0.604303	-1.32849	-0.362093	1.16961	-1.32849	0.203212	-0.362093	0.203212	-0.362093	0.203212	0.203212	0.203212	-1.32849	0.915412	0.915412	0.418131	0.915412	0.915412	0.915412	-0.362093	0.604303	-1.32849	0.203212	1.16961	0.915412	0.203212
ACAD8	-0.143706	-0.143706	-0.143706	-1.40552	1.11811	0.594409	-1.40552	0.594409	1.85622	-0.143706	-1.40552	0.594409	-0.143706	-0.143706	0.594409	-0.143706	-1.40552	-1.40552	1.11811	-1.40552	-0.143706	0.594409	1.11811	0.594409	-1.40552	0.594409	0.594409	0.594409	-0.143706	1.11811	-1.40552	-1.40552	-0.143706	0.594409	-1.40552	0.594409	-1.40552	1.11811	-0.143706	0.594409	-0.143706	2.13684	0.594409	-1.40552	0.594409	-1.40552	-1.40552	-1.40552	0.594409	1.11811	-0.143706	0.594409	-0.143706	-0.143706	1.11811	-1.40552	-0.143706	-0.143706	0.875027	0.594409	0.594409	-1.40552	-0.143706	-0.143706	-0.143706	1.52432	2.13684	-1.40552	1.11811
ACAD9	1.15314	1.47146	-0.972357	-1.46873	-0.223889	0.335148	-0.223889	-0.56679	1.15314	-0.56679	-0.223889	0.335148	2.42229	0.0731453	-0.972357	0.0731453	-2.10867	-0.56679	0.975084	-0.223889	-0.223889	0.0731453	0.781531	0.455418	0.781531	0.0731453	-0.56679	-1.20673	-2.51423	1.74988	0.569518	-0.56679	-0.223889	0.781531	1.47146	-0.972357	0.0731453	0.0731453	0.0731453	-0.56679	1.15314	0.781531	0.975084	-1.46873	-0.56679	0.0731453	1.31799	-2.10867	1.99729	0.569518	0.0731453	0.975084	-0.223889	-0.56679	0.335148	-0.56679	-0.56679	-0.223889	0.880412	1.31799	-0.223889	-1.46873	-1.46873	0.975084	0.0731453	0.335148	-0.972357	-1.46873	0.0731453
