Edge	NodeA	NodeB	InteractionType	CIN_dikNew	CIN_sigEdge	CIN_dir	CIN_absdiknew	Invasive_dikNew	Invasive_sigEdge	Invasive_dir	Invasive_absdiknew	MSIorCIMP_dikNew	MSIorCIMP_sigEdge	MSIorCIMP_dir	MSIorCIMP_absdiknew
ATIC_prot_NAE1_prot	ATIC_prot	NAE1_prot	ppi	0.160164	ppi	up	0.160164	0	died	died	0	-0	died	died	0
ATIC_prot_PROSC_prot	ATIC_prot	PROSC_prot	ppi	0.279309	ppi	up	0.279309	-0	died	died	0	-0	died	died	0
ATIC_prot_UBA1_prot	ATIC_prot	UBA1_prot	ppi	0.411953	ppi	up	0.411953	-0	died	died	0	-0	died	died	0
ATP1B1_prot_NDRG2_prot	ATP1B1_prot	NDRG2_prot	ppi	-0	died	died	0	0.0266715	ppi	up	0.0266715	-0	died	died	0
B3GNT3_prot_PGRMC1_prot	B3GNT3_prot	PGRMC1_prot	ppi	0	died	died	0	0.00900512	ppi	up	0.00900512	-0	died	died	0
BAG5_prot_CIRBP_prot	BAG5_prot	CIRBP_prot	ppi	-0	died	died	0	0.187537	ppi	up	0.187537	-0	died	died	0
BAG5_prot_CUL3_prot	BAG5_prot	CUL3_prot	ppi	0	died	died	0	0.0530878	ppi	up	0.0530878	-0	died	died	0
BAX_prot_SH3GLB1_prot	BAX_prot	SH3GLB1_prot	ppi	-0	died	died	0	0.0602033	ppi	up	0.0602033	-0	died	died	0
BCAM_prot_MTCH2_prot	BCAM_prot	MTCH2_prot	ppi	0.306516	ppi	up	0.306516	-0	died	died	0	-0	died	died	0
BCLAF1_prot_MSI1_mrna	BCLAF1_prot	MSI1_mrna	tf	0.0370853	tf	up	0.0370853	-0	died	died	0	-0	died	died	0
BCLAF1_prot_NR4A2_mrna	BCLAF1_prot	NR4A2_mrna	tf	-0.0198759	tf	down	0.0198759	0	died	died	0	0	died	died	0
BOP1_prot_C9orf114_mrna	BOP1_prot	C9orf114_mrna	tf	0.0286922	tf	up	0.0286922	-0	died	died	0	-0	died	died	0
BOP1_prot_DDX51_mrna	BOP1_prot	DDX51_mrna	tf	0.101953	tf	up	0.101953	-0	died	died	0	-0	died	died	0
BOP1_prot_HN1_mrna	BOP1_prot	HN1_mrna	tf	-0	died	died	0	0.175539	tf	up	0.175539	-0	died	died	0
BOP1_prot_LRRC6_mrna	BOP1_prot	LRRC6_mrna	tf	-0	died	died	0	0.30961	tf	up	0.30961	-0	died	died	0
BOP1_prot_MAPKAPK5_mrna	BOP1_prot	MAPKAPK5_mrna	tf	0.0625142	tf	up	0.0625142	0	died	died	0	-0	died	died	0
BOP1_prot_SRM_mrna	BOP1_prot	SRM_mrna	tf	0.0946533	tf	up	0.0946533	0	died	died	0	-0	died	died	0
BOP1_prot_WDR12_prot	BOP1_prot	WDR12_prot	ppi	0.0874995	ppi	up	0.0874995	-0	died	died	0	-0	died	died	0
BPHL_prot_HSPD1_prot	BPHL_prot	HSPD1_prot	ppi	0.123941	ppi	up	0.123941	-0	died	died	0	-0	died	died	0
BPNT1_prot_CHDH_prot	BPNT1_prot	CHDH_prot	ppi	0.0686448	ppi	up	0.0686448	-0	died	died	0	-0	died	died	0
BPNT1_prot_NFS1_prot	BPNT1_prot	NFS1_prot	ppi	0.0126023	ppi	up	0.0126023	-0	died	died	0	-0	died	died	0
BPNT1_prot_PDPR_prot	BPNT1_prot	PDPR_prot	ppi	0.0854341	ppi	up	0.0854341	-0	died	died	0	-0	died	died	0
BSG_prot_GCN1L1_prot	BSG_prot	GCN1L1_prot	ppi	-0	died	died	0	0.0479525	ppi	up	0.0479525	-0	died	died	0
BSG_prot_XPO4_prot	BSG_prot	XPO4_prot	ppi	-0	died	died	0	0.21845	ppi	up	0.21845	-0	died	died	0
BTF3_prot_EPHB2_mrna	BTF3_prot	EPHB2_mrna	tf	0.035065	tf	up	0.035065	0	died	died	0	-0	died	died	0
BUB3_prot_DAPK2_mrna	BUB3_prot	DAPK2_mrna	tf	0	died	died	0	0	died	died	0	-0.0195993	tf	down	0.0195993
BUB3_prot_SCARB1_mrna	BUB3_prot	SCARB1_mrna	tf	0.0306939	tf	up	0.0306939	-0	died	died	0	-0	died	died	0
BZW2_prot_CTSA_prot	BZW2_prot	CTSA_prot	ppi	0.229324	ppi	up	0.229324	-0	died	died	0	-0	died	died	0
BZW2_prot_MAVS_prot	BZW2_prot	MAVS_prot	ppi	0.0988621	ppi	up	0.0988621	0	died	died	0	-0	died	died	0
BZW2_prot_TMEM43_prot	BZW2_prot	TMEM43_prot	ppi	0.00239225	ppi	up	0.00239225	0	died	died	0	-0	died	died	0
C1QB_prot_FN1_prot	C1QB_prot	FN1_prot	ppi	-0	died	died	0	-0.241044	ppi	down	0.241044	0.0340751	ppi	up	0.0340751
C1QC_prot_FN1_prot	C1QC_prot	FN1_prot	ppi	-0	died	died	0	-0.0207582	ppi	down	0.0207582	0	died	died	0
C1R_prot_C1S_prot	C1R_prot	C1S_prot	ppi	-0	died	died	0	-0.119413	ppi	down	0.119413	0	died	died	0
C1R_prot_SERPING1_prot	C1R_prot	SERPING1_prot	ppi	-0	died	died	0	-0.143465	ppi	down	0.143465	0	died	died	0
C1S_prot_FN1_prot	C1S_prot	FN1_prot	ppi	-0	died	died	0	-0.309336	ppi	down	0.309336	0	died	died	0
C1S_prot_SERPING1_prot	C1S_prot	SERPING1_prot	ppi	-0	died	died	0	-0.0136036	ppi	down	0.0136036	0	died	died	0
C3_prot_FN1_prot	C3_prot	FN1_prot	ppi	-0	died	died	0	-0.217965	ppi	down	0.217965	0	died	died	0
C4BPA_prot_FN1_prot	C4BPA_prot	FN1_prot	ppi	-0	died	died	0	-0.141041	ppi	down	0.141041	0.149848	ppi	up	0.149848
C4BPA_prot_PROS1_prot	C4BPA_prot	PROS1_prot	ppi	-0.064615	ppi	down	0.064615	-0	died	died	0	0	died	died	0
C6_prot_FN1_prot	C6_prot	FN1_prot	ppi	-0	died	died	0	-0.145128	ppi	down	0.145128	0	died	died	0
C8B_prot_CLU_prot	C8B_prot	CLU_prot	ppi	-0	died	died	0	-0.0208445	ppi	down	0.0208445	0	died	died	0
C8orf82_prot_ETFA_prot	C8orf82_prot	ETFA_prot	ppi	0.323864	ppi	up	0.323864	-0	died	died	0	-0	died	died	0
C9_prot_FN1_prot	C9_prot	FN1_prot	ppi	-0	died	died	0	-0.231725	ppi	down	0.231725	0	died	died	0
CALD1_prot_COL4A1_mrna	CALD1_prot	COL4A1_mrna	tf	-0	died	died	0	-0.201297	tf	down	0.201297	0	died	died	0
CALD1_prot_FSTL1_mrna	CALD1_prot	FSTL1_mrna	tf	0	died	died	0	-0.0448057	tf	down	0.0448057	0	died	died	0
CALD1_prot_LAMA4_mrna	CALD1_prot	LAMA4_mrna	tf	0	died	died	0	-0.0112294	tf	down	0.0112294	0	died	died	0
CALD1_prot_WWTR1_mrna	CALD1_prot	WWTR1_mrna	tf	0	died	died	0	-0.236771	tf	down	0.236771	0	died	died	0
CANX_prot_CALU_mrna	CANX_prot	CALU_mrna	tf	-0.346727	tf	down	0.346727	-0	died	died	0	0.109509	tf	up	0.109509
CANX_prot_DNAJC10_mrna	CANX_prot	DNAJC10_mrna	tf	-0.0479478	tf	down	0.0479478	0	died	died	0	0	died	died	0
CANX_prot_P4HB_mrna	CANX_prot	P4HB_mrna	tf	-0.179798	tf	down	0.179798	0	died	died	0	0	died	died	0
CANX_prot_TRAM1_mrna	CANX_prot	TRAM1_mrna	tf	-0.00264291	tf	down	0.00264291	0	died	died	0	0	died	died	0
CARKD_prot_NEBL_prot	CARKD_prot	NEBL_prot	ppi	0	died	died	0	0	died	died	0	-0.215868	ppi	down	0.215868
CARM1_prot_HRSP12_prot	CARM1_prot	HRSP12_prot	ppi	0.0378415	ppi	up	0.0378415	0	died	died	0	-0	died	died	0
CARM1_prot_HSPH1_prot	CARM1_prot	HSPH1_prot	ppi	0	died	died	0	0	died	died	0	-0.0282306	ppi	down	0.0282306
CASK_prot_SCRIB_prot	CASK_prot	SCRIB_prot	ppi	0.13314	ppi	up	0.13314	0	died	died	0	-0.00224759	ppi	down	0.00224759
CAT_prot_HSD17B4_prot	CAT_prot	HSD17B4_prot	ppi	-0	died	died	0	0.155241	ppi	up	0.155241	-0	died	died	0
CAV2_prot_SRC_prot	CAV2_prot	SRC_prot	ppi	0.0995513	ppi	up	0.0995513	0	died	died	0	-0	died	died	0
CBX3_prot_ACOXL_mrna	CBX3_prot	ACOXL_mrna	tf	-0.0812831	tf	down	0.0812831	0	died	died	0	0	died	died	0
CBX3_prot_BAZ2B_mrna	CBX3_prot	BAZ2B_mrna	tf	-0	died	died	0	0.0850685	tf	up	0.0850685	-0	died	died	0
CBX3_prot_FAM126A_mrna	CBX3_prot	FAM126A_mrna	tf	-0.00943955	tf	down	0.00943955	-0	died	died	0	0	died	died	0
CBX3_prot_PPAP2B_mrna	CBX3_prot	PPAP2B_mrna	tf	0.035186	tf	up	0.035186	-0	died	died	0	-0	died	died	0
CBX3_prot_TMEM237_mrna	CBX3_prot	TMEM237_mrna	tf	-0.121293	tf	down	0.121293	0	died	died	0	0	died	died	0
CBX3_prot_TTC25_mrna	CBX3_prot	TTC25_mrna	tf	-0	died	died	0	0.0238125	tf	up	0.0238125	-0	died	died	0
CBX5_prot_KPNA4_prot	CBX5_prot	KPNA4_prot	ppi	-0	died	died	0	0.0274873	ppi	up	0.0274873	-0	died	died	0
CCAR1_prot_GCNT2_mrna	CCAR1_prot	GCNT2_mrna	tf	0	died	died	0	-0.0479119	tf	down	0.0479119	0	died	died	0
CCT5_prot_CUL4A_prot	CCT5_prot	CUL4A_prot	ppi	-0	died	died	0	0.0221709	ppi	up	0.0221709	-0	died	died	0
CD14_prot_LTF_prot	CD14_prot	LTF_prot	ppi	-0	died	died	0	-0.0239325	ppi	down	0.0239325	0	died	died	0
CD2AP_prot_HUWE1_prot	CD2AP_prot	HUWE1_prot	ppi	0	died	died	0	0.0262541	ppi	up	0.0262541	-0	died	died	0
CD2AP_prot_MTA2_prot	CD2AP_prot	MTA2_prot	ppi	-0	died	died	0	0.0462687	ppi	up	0.0462687	-0	died	died	0
CD2BP2_prot_PRPF6_prot	CD2BP2_prot	PRPF6_prot	ppi	0	died	died	0	0	died	died	0	-0.111484	ppi	down	0.111484
CD2BP2_prot_RAB5B_prot	CD2BP2_prot	RAB5B_prot	ppi	0	died	died	0	0.0539073	ppi	up	0.0539073	-0	died	died	0
CD2BP2_prot_UBE2V2_prot	CD2BP2_prot	UBE2V2_prot	ppi	-0	died	died	0	0.108162	ppi	up	0.108162	-0	died	died	0
CD46_prot_CD9_prot	CD46_prot	CD9_prot	ppi	0	died	died	0	0.0338146	ppi	up	0.0338146	-0	died	died	0
CD55_prot_PICALM_prot	CD55_prot	PICALM_prot	ppi	0	died	died	0	-0.0213973	ppi	down	0.0213973	0	died	died	0
CD74_prot_HLA-DPA1_mrna	CD74_prot	HLA-DPA1_mrna	tf	-0.208073	tf	down	0.208073	-0	died	died	0	0.547298	tf	up	0.547298
CD74_prot_HLA-DRB5_mrna	CD74_prot	HLA-DRB5_mrna	tf	-0.326403	tf	down	0.326403	-0	died	died	0	0.612117	tf	up	0.612117
CD74_prot_LSP1_mrna	CD74_prot	LSP1_mrna	tf	-0.354621	tf	down	0.354621	-0	died	died	0	0.206433	tf	up	0.206433
CD81_prot_DDX17_prot	CD81_prot	DDX17_prot	ppi	0.0135947	ppi	up	0.0135947	-0	died	died	0	-0	died	died	0
CD9_prot_ITGA2B_prot	CD9_prot	ITGA2B_prot	ppi	-0	died	died	0	0.0491892	ppi	up	0.0491892	-0	died	died	0
CD9_prot_ITGA2_prot	CD9_prot	ITGA2_prot	ppi	0	died	died	0	0.143883	ppi	up	0.143883	-0	died	died	0
CD9_prot_ITGA7_prot	CD9_prot	ITGA7_prot	ppi	-0	died	died	0	0.0193159	ppi	up	0.0193159	-0	died	died	0
CDC5L_prot_AGPS_mrna	CDC5L_prot	AGPS_mrna	tf	-0	died	died	0	0.184956	tf	up	0.184956	-0	died	died	0
CDC5L_prot_GLRX3_mrna	CDC5L_prot	GLRX3_mrna	tf	-0	died	died	0	0.0770383	tf	up	0.0770383	-0	died	died	0
CDC5L_prot_GTDC1_mrna	CDC5L_prot	GTDC1_mrna	tf	-0	died	died	0	0.0991193	tf	up	0.0991193	-0	died	died	0
CDC5L_prot_RPL38_mrna	CDC5L_prot	RPL38_mrna	tf	-0	died	died	0	0.142541	tf	up	0.142541	-0	died	died	0
CDC5L_prot_UBE2L3_mrna	CDC5L_prot	UBE2L3_mrna	tf	-0	died	died	0	0.0502483	tf	up	0.0502483	-0	died	died	0
CDH1_prot_SRC_prot	CDH1_prot	SRC_prot	ppi	0	died	died	0	0	died	died	0	-0.0494769	ppi	down	0.0494769
CDH1_prot_TNS3_prot	CDH1_prot	TNS3_prot	ppi	0.0471952	ppi	up	0.0471952	0	died	died	0	-0	died	died	0
CDK1_prot_PPL_prot	CDK1_prot	PPL_prot	ppi	0.0512965	ppi	up	0.0512965	-0	died	died	0	-0	died	died	0
CDK1_prot_TYMP_prot	CDK1_prot	TYMP_prot	ppi	0	died	died	0	-0.0159205	ppi	down	0.0159205	0	died	died	0
CDKN2AIP_prot_GGH_prot	CDKN2AIP_prot	GGH_prot	ppi	0	died	died	0	0	died	died	0	-0.071175	ppi	down	0.071175
CDV3_prot_MRPL14_prot	CDV3_prot	MRPL14_prot	ppi	0	died	died	0	0.27047	ppi	up	0.27047	-0	died	died	0
CDV3_prot_NDUFA2_prot	CDV3_prot	NDUFA2_prot	ppi	0	died	died	0	0.127989	ppi	up	0.127989	-0	died	died	0
CDV3_prot_NDUFAF2_prot	CDV3_prot	NDUFAF2_prot	ppi	0	died	died	0	0.249705	ppi	up	0.249705	-0.0202731	ppi	down	0.0202731
CDV3_prot_NSFL1C_prot	CDV3_prot	NSFL1C_prot	ppi	-0	died	died	0	0.343597	ppi	up	0.343597	-0	died	died	0
CDV3_prot_RRBP1_prot	CDV3_prot	RRBP1_prot	ppi	0	died	died	0	0.0892603	ppi	up	0.0892603	-0	died	died	0
CDV3_prot_SCO2_prot	CDV3_prot	SCO2_prot	ppi	-0	died	died	0	0.405596	ppi	up	0.405596	-0	died	died	0
CDV3_prot_STX7_prot	CDV3_prot	STX7_prot	ppi	-0	died	died	0	0.425854	ppi	up	0.425854	-0	died	died	0
CDV3_prot_TIMM44_prot	CDV3_prot	TIMM44_prot	ppi	0	died	died	0	0.0167807	ppi	up	0.0167807	-0	died	died	0
CDV3_prot_TSFM_prot	CDV3_prot	TSFM_prot	ppi	0	died	died	0	0.207383	ppi	up	0.207383	-0	died	died	0
